review_rating,review_title,review_body
4,"Quality good, size smaller.",Quality wise satisfactory. Looks sturdy enough.But the actual size is a bit smaller than that shown in production.
3,Glamocracy Plastic Floor Mat.,"I have received Geovik Plastic Floor mat, when I had ordered Glamocracy. Not too sure if Glamocracy and Geovik are part of the same group. I had already once returned the earlier mat since it was not as per the specs that I had ordered. Hence did not go ahead with a second time return back of the product ordered."
3,Didn't like the colour combination,I wanted multicolour which is shown in the picture red blue green white combination... but received some other colour. Hope Amazon help with me in colour change
4,Good. Value for money.,Good. Value for money.
3,Life 6 months only...,After 6 months edges will get untied from stitches.Day to day the may will become useless
4,Good buy,Its a decent chatai. You don't feel the cold from the floor so the thickness is also good.
5,Very nice,Good quality and very useful
4,Worth for money,"Mat is good and as per specifications. However, I assume this mat will not durable more than 3-4 months as it is not very thick. Lets see..!!"
4,Good quality,It is very good mat . Excellent quality.U can buy this product without thinking twice. Large sized product. U can use it for multipurpose.
3,Just ok,The colour of the mat is not good as i feel this is rejected oneWhile washing the colour is going off..so you cant wash this
4,Good enough,Good enough for the price
4,Good Product,Good Product
3,Small size and different print we did not choose this,Small size and different colour paint we did not choose this
3,Product quality below average,Product is not as shown in Amazon site. Quality is below average. Plastic threads have come out in number of places. Asked for return & refund which is promptly accepted by seller.
4,Ok but Different color,"Recieved totally different color material than shown in picture, should have provided choice. But recieved material is good. I am ok with it."
4,Good one,Good one worth the spend
4,Good product,Good quality product. Maybe bit expensive when compared with local shop price.
4,Overall the product is good,"Overall the product is good, but the only issue is the lining of the cloth is little bit thin."
4,Go for it.,"Looks good so far, its big enough exact the way i expected. May be i would write further review after 6 months."
4,Valuable,Not just the same colour as shown in the photo. But got just good one.
4,Good quality.,It's a good quality product. True to size ( 6 x 9 ) . Thickness is good.
4,Good,Good
4,Good enough product,Thickness is good. Pretty normal. It’s okay to buy.
3,Good,
3,Not as described,Not a quality product.
3,OK product,not Wow quality.....its 2 bend product hence difficult to wrap ...... so daily wrap users...dont go for this
3,Good,Like it
3,Good product,Good product
4,Good... but,Opportunity should be given for choosing color & design
2,Not the specified size,"It is not 6 X 9 ft, it is 5 3/4 X 8 1/2 ft.I think it was a reorder and VERY DISSAPOINTED by the size mismatch.I am using the earlier and this mat side by side."
3,Okie ok,"Its ok for price, but chatai is thin. I am not sure how long it will work."
4,Good,Product is good
3,Good,Good
5,Why haven’t you bought it yet ?,"Look, if you wish to enjoy soaking in the sun in winters, don’t sit on a chair. Buy this, it’s good to sit on the floor. This one is totally worth it. I’m super happy with my purchase"
3,Cheap quality but value for money,Quality is not upto the mark but at this price its perfect
4,On time delivery,It was good need to observe for durability
4,Nice peoduct,"Design, color and size (6X6) is perfect. Thickness is normal.Overall I liked it."
3,Colour are not same as shown...,The colour of the mat is not desirable... Not same the picture colour...
2,Misrepresentation. Received wrong colours.,I paid more to choose the colour shown /single coloured light green or mustard and they sent me same as multi colours as other products. Misrepresentation and unclear image about what they are selling. I may as well have chosen the cheaper versions than be fooled by a better image for a better price!
4,Good,Product is good but not so aesthetic color and designwise
4,"Decent quality, good product","Decent quality, good product"
3,durablity testing,I can give a proper rating of its durablity after using it for a few day
4,Good,Value for money
4,Good product,Good Quality
4,Good product,Like very much.
5,Good quality worth the price,"Very smooth quality. Worth the price. Highly satisfied with the product. Doesn't feel like pricky and sticky plastic, soft to touch and lie down"
3,Ok,Size is good.its ok.
3,Color quality wise good but not size,"It is only 5 feet by 8 feet, cheating not 6×9 feet"
3,Not bad,Ok ok
3,Okok,Not so good and not so good
4,Good,It is ok
3,Value for Money,It's good but not a great product.
5,Worth a buy,"My 1 year old baby gets enough space to play with her toys on the mat. We 5 members can easily sit on this mat. Large, thick and soft"
2,Not worth the money.,"Not the design I ordered out of the choices available, not worth the money as it is neither sturdy nor thick, if washed once, it will go to pieces."
3,Avg product,Still little higher price
4,Your,Nyc 1
4,As we expected,Excellent
4,GOOD,Good
3,Ok,Ok
3,Avg.,Average productwith rs.40 shiping charges.!Avg. QualityIn market price rs. 150
4,Color choice to buyer,Good
2,Not an quality product,Plastic quality not good and look very loose and not going to sustain for longer.
5,Absolute value for money,"Azing product for it's price. Was better packaged than items 3 times it's cost and more! Durable and wonderful, especially if you have pets at home since you can wash it and can be easily used for a garden picnic."
3,Smaller,Little size
4,Fullfill yr purpose.,"Good product. I have been using this for last 4 months , no problemyet."
3,Bad quality... high price,Worst quality ...... Costly product.... received diffrent product..
2,Very thin for the cost,Not value for money. Can get a good thick mat for the cost. It's very thin for the price
4,Thikthak,Ok
3,Not expect ed,Not up to the expectations
2,Quality is not good.,"Quality is too bad, seems like unfinished product.At many places threads are coming out due to that it is not comfortable as well as thickness is not good."
2,Not value for money,Ok product
4,Good deal...,Good product
3,Not as shown in the pic,Usable. But not very happy with quality.
5,Beautiful Mat,"Very nice and big mat , had order 6ft and it’s very neat and clean . New product was delivered . It’s good for baby to play around during winter season ."
4,Good,Average
3,Good for the price,Seems good for its price. Size is sufficiently big
5,Nice and big,Very nice chatai..using it for last 2 months..looks good and is quite big in size..a good play area for kids..
5,Amazing floor mats,The media could not be loaded.Fabulous mats Price is Worth.
3,Ok quality,Ok Quality
4,Good product,Nice
5,Found useful,This improves my sleep... value of money ?? useful
2,Not a very good quality,Not a very good quality
4,Good,Good
5,Size and colour is good,Size is good and durable
4,Large,Very big size
3,Good,Nice
4,Decent.,It is a decent product.Quality is good.
3,OK purchase,The product is OK. Width is OK but length is a bit Low
1,Not durable and waste of money.,"The chatai is as per given size, but the Quality is very very poor. It's worst. It's very thin and the material used is not good. Still not 2 months over for my order, and already it's teared. It's not durable. Don't go for it. You can see the images. For that much cost, it's useless, don't waste your money."
5,Plastic Mats,"Satisfied with the colour of the mats supplied.Suggestion :- Please arrange provision to choose colour or design, while ordering . Customer Delight activity."
5,"Go ahead , if you really want to order","Its too big , and too good in terms of quality and feel."
4,Awsome,Its good in this price range
4,very good,good product
3,good one,very good product except the color.
2,...,"Took the edge in only 10 days,Useless"
5,Amazing product.. worth buying ????,Very nice mat... as expected...like the pattern... colour is also good... happy shopping with Amazon.
5,"Good, value for money",Value for money
5,Good,Nice quality
5,Excellent purchase considering the size and price.,Large sized and comfortable. Price is very reasonable.
5,Nice quality well delivered,"Nice quality well delivered, strong and reliable"
3,Average product at affordable price,Average product at affordable price...
1,Nothing,The finishing of the Product is not good. Color also different. Thickness is also not so good. You were supposed to send the same as shown in image.Packing not good.Packed only in plastic cover.There no packing of Amazon.We are not expecting like this from Amazon.
4,Good at this price,Worth money
5,Value for money.,Very Good ProductValue for moneyGood to useNice product.
5,fully satisfied,"quality of material is superb and size is as mentioned in the product description, delivery took a quiet long time though I have prime membership but overall satisfied with the product, thnx Amazon"
5,Great deal,"Quality and dimensions are ok but colour looks light. If we ignore this minor thing, its good??"
3,Ok,Just ok
4,Good,Good
5,Superb??,Looking superb ..evarybody can see inpic ... If anybody want to buy ..go ahed without any question
3,Low quality,Low Quality as expected
5,Nice one,Nice one
5,Go for it,Product quality is good and value for money.Go for it.
2,Losing colour....,Size and design is good. But mat is losing its colour.. You can see in the pictures. Our feet and dress got coloured after using it just once. Even its packing is having its colour here and there...
5,Recommend,Good quality recommend.
5,Value for money,Best at this price. In offline similar product was cost 3 times higher than this.
5,worth the money.gd quality,good quality.worthy product.
5,Very good purchase,Very good purchase considering the cost.
4,Good,Good
5,Super,Very nice and big liked son much quality is also too good.
5,Very Satisfying Quality,Its perfect in size and meeting my requirements
2,Need improvement on boarder.,"Sai sradha should not written on boarder, as our foot goes on it unknowingly sometime."
4,Good but little costly,Costly
4,Ok,Okay
4,Good,Good
5,Good,The media could not be loaded.Very nice
5,Good Quality,As expected.. good quality
4,Useful,Good
5,Good experience,Good one.. Value for money..
5,Simple and decent,Easy to use affordable to pocketnice designwashable.
5,Liked,Like
5,Good product..,Good one.. Value for money..
2,Quality not as per price,Quality not as per price at all...very low quality product
5,Very good in this price,The mat is very good in this price and delivered on time. Very happy with the quality of mat.
5,Satisfied,Good product worth buying
5,Nice product,Product was very beautiful n of good quality. Must buy.
5,Excellent product,Different color and design on both the sides. Overall a very good product.
2,Average quality,Average quality
2,Not a soft material,Not a soft material .
2,Mat,"Quality of mat is not at all good. Waste of purchasing. What the mat showed online, it is not like that"
5,It’s OK,It is ok. The price is lil on high end.
5,Value for money,Superb....fine with more thickness & strong
1,Worst product low quality,Very poor product the colour is not the same as shown the material is also 3rd class very very poor packaging the colour is very dull and it is very thin think that it wouldn't last for long it looks like it is roadside mat very disappointing
5,Good,Good
3,Ok ok,Average
3,Ordinary,Average quality.
5,Good,Good
5,Value for money,It’s a good product as shown in the picture...
5,Worth it,Just go for it.. it's absolutely worth it..
2,Not satisfaction,No satisfaction average
5,Good quality in low price,Very good quality in low price...very good service of Amazon...
5,Nice,Nice quality value for money
5,Good product,Good quality and value for money
1,Wrong size posted in advertising,"The one delivered was less than 4 ft width. But the product description says it's 9ft. It's misguided description, I had to return the product after waited for one week of shipping time, very sad. Thickness was not great."
5,Very good product,Very good product
2,Cheap product,Quality is not that great.
5,Nice quality,Nice
1,Waste of money,Poor quality. The mat is unravelling in just a month. Will have to discard it. Very disappointed
5,goodquality,Very good
5,Nice,Better than expected
5,Good,Super
1,Quality not upto mark,It seems the sellers clear off their defective products through Amazon. The defect in the centre is clearly visible. Although I didn't return it but still it speaks poorly of the quality.
5,Good product,Value for money
2,Don't purchase this product from seller,Product is not good quality side mat plastic is broken all sides
5,Awesome,Awesome
5,Plastic mat,Value for money
5,"Nice product, justify cost",I am satisfied with this.
5,Good,Nice productWorth for money
5,Great product.. its a go go to anyone who wants to buy,Good value for money product
5,Mat,Nice
1,Bad quality,The product is not worth the money. The quality of the product is very low. The mat is not even weaved properly.
5,Nice product,Very nice product at this price.
5,Good product,Product as expected. Good quality and perfect dimensions for my room.
5,Good One,A nice product and looks strong.
1,Poor quality and very small size,Very small in size and poor quality.. In local markets we get god quality for this price or even lesser... Waste of money... Dont buy
5,Good,Good product
5,Very economical,cannot expect better than this for the price it was sold.
1,Colour and quality not good,Not at all satisfied with the productiein quality and in colour
5,Good product,Product is good
5,Just go for it such nice product,Awesome product
5,Good quality,Super quality
1,Bad quality,Quality is not so good for the price. And did not deliver the asked color/design.
5,Chatai istoo long...But ithardly matters.Thnks amazon??????,Thickness.
5,Value for money,Very nice product value for money
5,Good,Good
5,Value for money,Value for money
5,Very durable and ritely priced,Go for it
1,Color vary,Color is different than displaying. They showed two mats but deliver only one. Display image is distracting. So returning it.
5,Good purchase,Happy to buy...
2,Not so good,Not so great quality
5,Good...,Satisfied ... This size is enough for my purpose
5,Good product in right price,Received the product as described
1,Low quality,All the corners of this chatai is folds. Material is hard compare to other chatai.Stitching threads is very weak.
5,Good,Nice
5,Good quality product but it is costly,I like the product because it's quality was very very well and truly
5,Satisfied,Fully Satisfied
1,VERY POOR QUALITY,This is how it is after 3-4 months use. Worst product.
5,Better and big,Nice go for it it's too big
1,Quality,The quality is very poor within few days of its usage it is getting torn.
5,Qlty product,Very good one
1,Don't buy,Useless product. very small size and you don't have a replacement option too. Just waste of time and money
5,Very good product,Very good product
1,Below expectations...,Not soft
1,Very expensive,It's misleading pic as it's just one chatai.Very expensive for the quality that we've received
5,Product analysis,Good one and comfortable..
5,very good quality,excellent sturdy good sized
1,Very bad,I really felt bad with quality all treads are out have sent it back for replacement let’s see even if that comes defect I won’t buy at all will return
1,"Bad quality product, this is not value for money",Not value for money& durable bad quality product
1,Poor quality,"Quality is not good, in continues use within a month it will be gone."
1,Low quality,Cheap quality wastage of money ..n there s no option to chose color..
1,Such a headache to order and return.,Material and colour both look so so cheap. Much cheaper than the price paid. Vendor must change the photo given and put the original product photo. Disgusting.
1,Delicate,Not strong
5,good,nice product low price
5,Good,Nice product
5,Nice,Good
5,Big n good product,Value for money
1,Not worth,Size is not correct as in description
5,awesome,good
1,Worst product,Pathetic mat.Worst quality products..Never buy from this seller.It show two mat but deliver only one.
5,Product is good,It's good
1,Not worth for money,"Not good product, it's waste of money."
5,Perfect,Amazing product
5,Good,Good
5,Super,Excellent
1,Bad quality changed the product colour I ordered,Colour changed to dark greenVery bad quality
1,Waste of money,"Worst product, waste of money"
5,Good,Good
5,very goods,useful
5,Good,Good product
1,Worst,DO NOT BUY THIS! Leaves color all over you if you sleep on it.
4,Good,Good
5,Perfect Plastic Mat for sleeping,"Excellent product, received the product as visible on the website and as described along with carry bag/bag for storing."
5,Super,Value of money
4,Check the size properly,"Quality wise, it seemed good. A 6x4 size is as that of a single cot bed. Please check your required size before placing your order."
4,Great plastic mat,"Very good high quality plastic mat. Very easy to fold and open. This has a crease, so if you close this wrong way, then plastic straws start breaking pretty soon - hence deducting one star."
4,Value for money,Good product. Value for money.
2,Poor Quality,Product of poor quality
5,Good product must buy,Good product but price little bit more considering 20% more if u get 450 below then value for money.
3,Product colour spoiling the clothes,It is used for yoga purpose at home . The product colour is not fast colour . It's spoiling the flooring & cloths due week colour
4,Nice product,"I bought multi colour mat from amezon.this mat size are good,and nice plastic material.very easy too carry.Light wet & waterproof.color r same in picture.so I am very happy......"
5,Supy product,Super product
5,It's worth it,A perfect Assan for my daily worship. Comfortable and light weight makes it easier to carry everywhere.
5,Very durable,Very nice and I love it.
5,"Cheap ,useful and best . Just go for it !",Quality is good at this price . I am using it for outdoor and indoor. Material is Same as shown in the pics . Can store it anywhere and use it anywhere. Go for it !
5,Very very good product,The media could not be loaded.
2,Not meet expectations,Product quality is not meet the expectations as per it's cost. The product would be available with lower price. I suggest the price for this appx Rs. 300 INR.
