review_rating,review_title,review_body
4,Nice quality,The mat is very delicate but makes ur home look vibrant and lovely
4,Good,Length good. Width could have been more. Stuff is good
3,Its kind of chatai but cover with cotton cloth,Average product. Not the best. Buy if you want to use it occasionally
3,Thickness is very less,Stitching quality is good but thickness is not as expected
4,Beautifully crafted,I really like the product. Finishing is very good. Beautifully crafted. Edges are covered with a fabric piping. I thought it's a single piece wide whereas clubbed with multiple strips. Maybe to make it foldable. Not sure how long it's gonna last. But overall very happy with the product. I really appreciate efforts taken to make this product.
5,Good quality!,"Happy with the purchase. Good quality and design, perfect size too. Thank you!"
3,Is small than what we feel from image.,Only two is sleep on it. very thin although compact and red looks really good and can be used in front of pooja rom
5,Good product but slightly costly,"The product is very good, but the pricing could have been a little less"
4,Material is not durable but easy to carry for outdoor,"Material is not durable but easy to carry any place and good for indian home,we can fold this carpet as per our need.easy to maintain.pet and kid friendly.Starting as 4 because of very poor quality packaging.Vendor packaging quality need to improve"
2,Quality is not good,"Quality of this product is not good , It got torned after iths first day use only , and the damage got wider , also it started to get damaged from other end side also ,and not it has hurt my elbow , I have Bought these mats earlier also they are in good condition from 2 months of use also , but this time I got very poor qualitythats why I am returning this"
1,Came in open condition with tampered labels.,Poor drlivery. Csme in open condition with tampered labels
5,Liked it very much,Looks awesome. Well knitted. Quality of work is excellent. Thank you for such a lovely handicraft product.
5,Beautiful,The stitching is even more beautiful in real. Very happy. Just the threads could have been better quality. Some of them ripped in my garden after few uses.
3,It's average,The product is too sleeky and wouldn't be affordable to use as it is
4,Good product,Expected it to be slightly bigger in terms of width. Apart from that its a good quality mat
4,It’s always comes handy for a lot of times,It’s always needed either for lying down during back pain or going out doors to sit
3,I want bigger one mat,Required little big mat. So want to replace this. Please arrange to pick up returns.
5,Good,Good
3,Shorter than specified,"Workmanship is good. But it is shorter (66"" only, not 72"") than specified. Had to return because it doesn't meet my requirements."
4,A bit thin,Look wise and material wise very good. But a bit thin
5,Worth for money,I m very happy with this product.. it is more beautiful than picture shown above..Very nice product..go for it.. thank u amazon
3,Looks beautiful but is definitely not comfortable,"The mat looks good and so does the design. However, the density of the mat is so less that you don't even feel like you were sitting on one. It's almost like sitting on the floor even after sitting on the mat. If the density was better then there is nothing to comment on this product."
